Metric		Current
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_LOC		42
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_PERCENTAGE		10.74
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_COUNT		3
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_LOC		201
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_PERCENTAGE		51.41
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_COUNT		6
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_LOC		56
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_PERCENTAGE		14.32
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		92
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		23.53
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		13
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		42
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		10.74
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		3
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		201
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		51.41
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		6
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		56
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		14.32
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		1
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		156
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		39.9
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		17
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		133
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		34.02
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		4
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		102
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		26.09
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_LOC		156
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_PERCENTAGE		39.9
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_COUNT		17
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_LOW_RISK_LOC		133
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_LOW_RISK_PERCENTAGE		34.02
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_LOW_RISK_COUNT		4
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_MEDIUM_RISK_LOC		102
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_MEDIUM_RISK_PERCENTAGE		26.09
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_MEDIUM_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		156
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		39.9
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		17
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		133
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		34.02
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		4
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		102
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		26.09
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		8
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		6
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		115
DUPLICATION_NUMBER_OF_CLEANED_LINES		2,172
DUPLICATION_PERCENTAGE		5.29
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_FRONTEND		115
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_FRONTEND		115
DUPLICATION_PERCENTAGE_PRIMARY_FRONTEND		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JS		95
DUPLICATION_NUMBER_OF_CLEANED_LINES_JS		538
DUPLICATION_PERCENTAGE_JS		17.66
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JSX		8
DUPLICATION_NUMBER_OF_CLEANED_LINES_JSX		1,231
DUPLICATION_PERCENTAGE_JSX		0.65
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_CSS		12
DUPLICATION_NUMBER_OF_CLEANED_LINES_CSS		307
DUPLICATION_PERCENTAGE_CSS		3.91
TOTAL_ANALYSIS_TIME_IN_MILLIS		12,868
